package,installed,loadable,package_native_code,package_r_code,package_code,runnable_code,runnable_files,runnable_code_examples,runnable_code_vignettes,runnable_code_tests,runnable_files_examples,runnable_files_vignettes,runnable_files_tests,coverage_expr,coverage_line,runnable_success,runnable_error,runnable_time,runnable_rate,funs_private,funs_public,funs,revdeps,funs_with_assert,asserts
CASMAP,TRUE,TRUE,4105,782,4887,62,6,24,38,0,5,1,0,0.4737014047696831,0.47493489583333326,6,0,0.9490000000000014,1,0,63,63,NA,NA,NA
cassandRa,TRUE,TRUE,0,806,806,55,8,24,31,0,7,1,0,0.7936842105263158,0.6428571428571429,8,0,43.009,1,10,19,29,NA,NA,NA
CAST,TRUE,TRUE,0,396,396,64,4,12,52,0,3,1,0,0.5446808510638298,0.5540983606557377,4,0,151.008,1,0,4,4,NA,NA,NA
castor,TRUE,TRUE,21192,7752,28944,699,89,699,0,0,89,0,0,0.38833389205497826,0.38637892376681615,89,0,10.570999999999978,1,165,91,256,NA,NA,NA
cat,TRUE,TRUE,639,329,968,191,11,191,0,0,11,0,0,0.8491965389369592,0.8422425032594524,11,0,4.6750000000000025,1,0,12,12,1,NA,NA
cat.dt,TRUE,TRUE,0,383,383,7,1,7,0,0,1,0,0,0.7692307692307694,0.7913907284768213,1,0,3.717,1,1,19,20,NA,NA,NA
catch,TRUE,TRUE,400,502,902,82,5,82,0,0,5,0,0,0.9131121642969984,0.9166666666666665,5,0,2.649999999999999,1,7,5,12,NA,NA,NA
catchr,TRUE,TRUE,0,703,703,557,11,104,37,416,7,1,3,0.8850574712643678,0.8905380333951762,10,0,11.654999999999998,1,40,20,60,NA,NA,NA
catcont,TRUE,TRUE,0,87,87,136,8,29,0,107,3,0,5,0.9074074074074074,0.8064516129032258,4,0,4.608000000000002,1,17,9,26,NA,NA,NA
catdap,TRUE,TRUE,2752,1854,4606,53,3,53,0,0,3,0,0,0.7713995427990856,0.7687946758688686,3,0,3.945999999999999,1,16,4,20,NA,NA,NA
catdata,TRUE,TRUE,NA,NA,NA,103,61,40,63,0,23,38,0,NA,NA,61,0,136.14899999999997,1,NA,NA,NA,NA,NA,NA
CatDyn,TRUE,TRUE,0,35335,35335,169,24,169,0,0,24,0,0,0.029836381135707413,0.025372637496763693,23,1,10.467,0.9583333333333334,99,19,118,NA,NA,NA
cate,FALSE,FALSE,0,863,863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
categoryEncodings,FALSE,FALSE,0,433,433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
catenary,TRUE,TRUE,0,381,381,93,18,81,12,0,17,1,0,0.9184549356223176,0.916,18,0,16.28,1,0,18,18,NA,NA,NA
CatEncoders,TRUE,TRUE,0,162,162,62,4,62,0,0,4,0,0,0.8,0.7747747747747747,4,0,4.231000000000001,1,0,4,4,1,NA,NA
CateSelection,TRUE,TRUE,0,557,557,28,6,28,0,0,6,0,0,0.8486707566462166,0.8460176991150442,6,0,16.279,1,9,4,13,NA,NA,NA
catfun,FALSE,FALSE,0,389,389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cati,FALSE,FALSE,0,2997,2997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
catIrt,TRUE,TRUE,234,2306,2540,87,6,87,0,0,6,0,0,0.18387096774193548,0.14363010329562223,6,0,0.19899999999999884,1,34,13,47,NA,NA,NA
CATkit,FALSE,FALSE,0,3413,3413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
catlearn,TRUE,TRUE,1141,1481,2622,182,16,40,0,142,3,0,13,0.593094944512947,0.5127962085308057,4,0,5.090000000000002,1,12,35,47,NA,NA,NA
catmap,TRUE,TRUE,0,504,504,34,8,19,0,15,5,0,3,0.8663239074550129,0.8459869848156181,6,0,10.59,1,2,5,7,NA,NA,NA
caTools,FALSE,FALSE,1182,811,1993,NA,NA,NA,NA,NA,NA,NA,NA,0.8280597014925373,0.82122552116235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CatPredi,FALSE,FALSE,0,898,898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
catR,TRUE,TRUE,0,3295,3295,670,27,670,0,0,27,0,0,0.6026074360212458,0.6136685552407932,25,2,16.088,0.9259259259259259,0,31,31,1,NA,NA
catseyes,TRUE,TRUE,0,167,167,72,2,72,0,0,2,0,0,0.7555555555555555,0.7471264367816092,2,0,15.446,1,0,2,2,NA,NA,NA
catspec,TRUE,TRUE,0,266,266,100,2,100,0,0,2,0,0,0.9381443298969071,0.9471544715447154,2,0,6.578,1,2,10,12,NA,3,7
catSurv,TRUE,TRUE,3234,1027,4261,2141,71,249,0,1892,36,0,35,0.7243289305496379,0.7201966407210159,37,0,15.418000000000005,1,1,74,75,NA,NA,NA
CATT,TRUE,TRUE,0,39,39,6,1,6,0,0,1,0,0,1,1,1,0,0.468,1,0,1,1,NA,NA,NA
CATTexact,TRUE,TRUE,0,179,179,72,5,10,0,62,2,0,3,1,1,3,0,1.6269999999999996,1,2,2,4,NA,NA,NA
cattonum,TRUE,TRUE,35,422,457,766,25,29,47,690,10,1,14,0.945273631840796,0.8301886792452831,12,0,90.024,1,46,10,56,NA,2,2
causaldrf,TRUE,TRUE,0,2068,2068,596,20,464,126,6,18,1,1,0.48123765635286375,0.46555555555555556,17,3,10.94100000000001,0.85,12,16,28,NA,NA,NA
causaleffect,FALSE,FALSE,0,3122,3122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CausalFX,TRUE,TRUE,0,1314,1314,51,5,51,0,0,5,0,0,0.8024809160305344,0.8193315266485999,5,0,5.186,1,31,7,38,NA,NA,NA
CausalGAM,TRUE,TRUE,0,539,539,2,2,2,0,0,2,0,0,0.017064846416382253,0.013856812933025405,2,0,0.038999999999999736,1,3,2,5,NA,NA,NA
CausalImpact,TRUE,TRUE,0,1024,1024,1326,10,16,37,1273,2,1,7,0.9841269841269841,0.9857142857142859,5,0,36.594,1,40,2,42,1,26,127
CausalKinetiX,FALSE,FALSE,0,1697,1697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
causalMGM,TRUE,TRUE,0,151,151,29,6,29,0,0,6,0,0,0.12727272727272726,0.10526315789473684,5,1,2.3610000000000007,0.8333333333333334,0,8,8,NA,NA,NA
causalsens,TRUE,TRUE,0,128,128,18,1,0,18,0,0,1,0,0.7096774193548387,0.71875,1,0,2.759,1,3,5,8,NA,NA,NA
causalweight,FALSE,FALSE,0,991,991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Causata,FALSE,FALSE,0,2440,2440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CautiousLearning,TRUE,TRUE,443,91,534,30,3,30,0,0,3,0,0,0.9014084507042255,0.9035714285714286,3,0,40.141999999999996,1,4,9,13,NA,NA,NA
CAvariants,TRUE,TRUE,0,1510,1510,73,13,73,0,0,13,0,0,0.774922918807811,0.7513416815742398,13,0,5.131,1,0,20,20,NA,NA,NA
CAWaR,FALSE,FALSE,0,439,439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CB2,FALSE,FALSE,280,312,592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cba,TRUE,TRUE,3111,937,4048,214,30,214,0,0,30,0,0,0.7880243355747677,0.7937344913151365,29,1,2.035999999999999,0.9666666666666667,20,24,44,NA,NA,NA
cbanalysis,TRUE,TRUE,0,51,51,16,2,16,0,0,2,0,0,0.7272727272727273,0.775,2,0,1.1649999999999998,1,0,2,2,NA,NA,NA
cbar,TRUE,TRUE,0,347,347,97,7,9,0,88,1,0,6,0.918918918918919,0.915929203539823,2,0,8.869,1,15,13,28,NA,15,22
CBCgrps,TRUE,TRUE,0,328,328,17,5,17,0,0,5,0,0,0.8502994011976048,0.8834586466165413,5,0,3.3699999999999988,1,0,2,2,NA,NA,NA
CBDA,FALSE,FALSE,0,1423,1423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cbinom,TRUE,TRUE,343,119,462,15,1,15,0,0,1,0,0,0.22558922558922562,0.24092409240924093,1,0,0.486,1,3,4,7,NA,NA,NA
cbird,TRUE,TRUE,0,228,228,6,2,6,0,0,2,0,0,NA,NA,2,0,1.0499999999999998,1,3,2,5,NA,NA,NA
cblasr,TRUE,TRUE,32,4,36,2,1,2,0,0,1,0,0,0.23308270676691728,0.23308270676691728,1,0,0.195,1,0,1,1,NA,NA,NA
CBPS,FALSE,FALSE,0,2907,2907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cbq,TRUE,TRUE,9198,592,9790,8,1,8,0,0,1,0,0,NA,NA,1,0,3.043,1,23,10,33,NA,NA,NA
cbsem,TRUE,TRUE,0,925,925,118,18,118,0,0,17,1,0,0.6295857988165681,0.629500580720093,18,0,126.26000000000003,1,0,19,19,NA,NA,NA
cbsodataR,TRUE,TRUE,0,808,808,113,17,12,0,101,12,1,4,0.16097560975609757,0.16637478108581438,14,0,1.328999999999999,1,35,23,58,NA,NA,NA
CBSr,TRUE,TRUE,0,160,160,25,4,25,0,0,3,1,0,0.83206106870229,0.8319327731092437,4,0,3.4990000000000006,1,11,3,14,NA,NA,NA
CBT,TRUE,TRUE,0,237,237,13,1,13,0,0,1,0,0,0.1851851851851852,0.1721311475409836,1,0,5.88,1,0,6,6,NA,NA,NA
CC,TRUE,TRUE,0,283,283,37,10,37,0,0,10,0,0,0.7909604519774011,0.7970297029702971,10,0,2.031000000000002,1,0,11,11,NA,NA,NA
CCA,TRUE,TRUE,0,224,224,38,7,38,0,0,7,0,0,0.6846153846153846,0.7305389221556886,7,0,1.6209999999999998,1,0,11,11,3,NA,NA
ccafs,TRUE,TRUE,0,448,448,103,11,8,0,95,5,1,5,0.3896103896103897,0.3862433862433862,8,0,4.065000000000001,1,28,8,36,NA,1,1
CCAGFA,TRUE,TRUE,0,547,547,25,7,25,0,0,7,0,0,0.4849246231155779,0.47916666666666674,7,0,0.8300000000000001,1,4,12,16,NA,NA,NA
CCAMLRGIS,FALSE,FALSE,0,1029,1029,NA,NA,NA,NA,NA,NA,NA,NA,0.7966963151207116,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ccaPP,TRUE,TRUE,1256,380,1636,86,10,63,23,0,9,1,0,0.6831775700934579,0.6831314072693382,9,1,4.880999999999999,0.9,9,14,23,1,NA,NA
cccd,TRUE,TRUE,0,856,856,39,6,39,0,0,6,0,0,0.2854609929078014,0.2874331550802139,6,0,7.951999999999999,1,14,15,29,NA,NA,NA
ccChooser,TRUE,TRUE,0,182,182,23,6,23,0,0,6,0,0,0.7716535433070866,0.7659574468085107,6,0,2.77,1,8,4,12,NA,NA,NA
cccp,TRUE,TRUE,2973,648,3621,24,9,16,0,8,8,0,1,0.6735716672235216,0.6665578053559765,8,1,0.25300000000000056,0.8888888888888888,2,24,26,2,NA,NA
cccrm,TRUE,TRUE,0,487,487,30,4,30,0,0,4,0,0,0.6861826697892272,0.6810551558752997,4,0,5.426000000000001,1,8,4,12,NA,NA,NA
ccda,TRUE,TRUE,0,164,164,16,4,16,0,0,4,0,0,0.8863636363636364,0.9032258064516128,4,0,19.184,1,0,5,5,NA,NA,NA
ccdrAlgorithm,TRUE,TRUE,1606,602,2208,796,21,25,0,771,2,0,19,0.8226872246696035,0.823271130625686,3,0,16.973,1,39,2,41,1,2,7
ccfa,TRUE,TRUE,0,502,502,102,15,102,0,0,15,0,0,0.3846153846153847,0.4275,15,0,15.168000000000003,1,1,26,27,NA,NA,NA
cchs,TRUE,TRUE,0,803,803,7,1,7,0,0,1,0,0,0.7676537585421412,0.7990012484394506,1,0,2.434,1,23,1,24,NA,NA,NA
cchsflow,TRUE,TRUE,0,1154,1154,628,40,257,0,371,29,0,11,0.7972972972972973,0.7370737073707371,30,0,25.027000000000005,1,10,17,27,NA,NA,NA
cclust,TRUE,TRUE,422,465,887,36,3,36,0,0,3,0,0,0.5100917431192661,0.5565217391304348,3,0,1.2160000000000002,1,2,2,4,1,NA,NA
CCM,TRUE,TRUE,0,76,76,64,7,64,0,0,7,0,0,0.8524590163934426,0.8214285714285714,7,0,1.5790000000000004,1,2,2,4,NA,NA,NA
ccmm,TRUE,TRUE,0,412,412,29,5,29,0,0,5,0,0,0.75,0.7311178247734139,5,0,14.302000000000001,1,18,4,22,NA,NA,NA
ccostr,TRUE,TRUE,0,213,213,362,10,7,27,328,3,2,5,0.9848484848484849,0.9895833333333335,7,0,24.961,1,2,2,4,NA,NA,NA
CCP,TRUE,TRUE,0,250,250,63,4,63,0,0,4,0,0,0.923076923076923,0.9226519337016574,4,0,11.160000000000002,1,0,11,11,1,NA,NA
CCpop,TRUE,TRUE,0,586,586,42,3,42,0,0,3,0,0,0.2,0.20867768595041322,3,0,0.7109999999999993,1,6,18,24,NA,NA,NA
ccRemover,TRUE,TRUE,0,244,244,47,4,27,20,0,3,1,0,0.6388888888888888,0.5388349514563107,4,0,60.65,1,0,5,5,NA,NA,NA
ccrs,TRUE,TRUE,0,439,439,29,4,29,0,0,4,0,0,0.8161559888579387,0.8408602150537634,4,0,1.2920000000000005,1,7,6,13,NA,NA,NA
ccss,TRUE,TRUE,0,44,44,2,1,2,0,0,1,0,0,0.9142857142857143,0.9361702127659575,1,0,0.842000000000001,1,0,1,1,NA,NA,NA
cctools,TRUE,TRUE,93,184,277,153,9,39,0,114,4,0,5,0.9722222222222221,0.9651162790697676,5,0,3.446,1,9,8,17,1,5,8
CCTpack,TRUE,TRUE,0,2852,2852,47,19,47,0,0,19,0,0,NA,NA,18,1,3.2589999999999986,0.9473684210526315,29,18,47,NA,NA,NA
cdata,TRUE,TRUE,0,1985,1985,861,29,439,417,5,21,7,1,0.8350785340314136,0.8604316546762589,29,0,9.016000000000002,1,33,28,61,1,NA,NA
cdb,TRUE,TRUE,0,82,82,16,3,16,0,0,3,0,0,0.8970588235294117,0.9041095890410957,3,0,7.136,1,0,2,2,NA,NA,NA
cdcfluview,TRUE,TRUE,0,756,756,78,18,25,0,53,16,0,2,0.511002444987775,0.4977307110438729,17,0,32.695,1,4,17,21,NA,NA,NA
cdcsis,TRUE,TRUE,1681,233,1914,91,7,15,0,76,3,0,4,0.4481481481481481,0.45069124423963136,4,0,14.462000000000002,1,11,4,15,NA,NA,NA
cde,TRUE,TRUE,0,461,461,298,17,23,29,246,6,2,9,0.9227799227799228,0.9130434782608695,10,0,22.543,1,17,6,23,NA,NA,NA
cder,TRUE,TRUE,0,140,140,24,6,8,0,16,2,1,3,0.0392156862745098,0.023255813953488372,4,0,2.948,1,3,7,10,NA,NA,NA
cdfquantreg,TRUE,TRUE,0,3982,3982,181,25,103,78,0,22,3,0,0.39343009931245226,0.3437767017943606,25,0,24.074,1,34,18,52,NA,NA,NA
CDFt,TRUE,TRUE,0,98,98,17,1,17,0,0,1,0,0,0.6419753086419753,0.6627906976744186,1,0,2.868,1,0,3,3,NA,NA,NA
CDLasso,TRUE,TRUE,417,602,1019,278,19,278,0,0,19,0,0,0.9432013769363167,0.9448698315467073,19,0,18.095,1,18,6,24,NA,NA,NA
cdlei,TRUE,TRUE,0,51,51,11,3,11,0,0,3,0,0,1,1,3,0,2.7080000000000024,1,0,2,2,NA,NA,NA
cdlTools,TRUE,TRUE,60,181,241,10,5,10,0,0,5,0,0,0.226890756302521,0.2127659574468085,5,0,0.5829999999999989,1,0,5,5,NA,NA,NA
CDM,TRUE,TRUE,1552,12847,14399,472,74,472,0,0,74,0,0,0.47974696459544947,0.5006365951255002,74,0,13.751000000000003,1,451,100,551,8,NA,NA
CDNmoney,TRUE,TRUE,NA,NA,NA,105,4,63,2,40,2,1,1,NA,NA,4,0,2.6549999999999976,1,NA,NA,NA,NA,NA,NA
cdom,TRUE,TRUE,0,87,87,20,4,20,0,0,4,0,0,0.82,0.9,4,0,4.947,1,0,3,3,NA,3,3
cdparcoord,TRUE,TRUE,0,606,606,44,6,44,0,0,5,1,0,0.18208955223880596,0.15671641791044777,6,0,1.741999999999999,1,6,7,13,NA,NA,NA
CDROM,TRUE,TRUE,0,314,314,5,1,5,0,0,1,0,0,0.5588235294117647,0.6422976501305483,1,0,5.909,1,0,1,1,NA,NA,NA
cds,TRUE,TRUE,0,825,825,18,6,18,0,0,6,0,0,0.5016722408026756,0.5288461538461539,6,0,5.653999999999995,1,8,29,37,1,5,5
CDVine,TRUE,TRUE,2584,4386,6970,230,28,230,0,0,28,0,0,NA,NA,28,0,6.515000000000006,1,34,28,62,1,NA,NA
CDVineCopulaConditional,TRUE,TRUE,0,978,978,468,8,43,0,425,6,0,2,0.22113502935420745,0.2064516129032258,7,0,3.8919999999999977,1,11,5,16,NA,NA,NA
CEC,TRUE,TRUE,2391,591,2982,53,11,52,0,1,10,0,1,0.8778718258766627,0.8749259039715471,11,0,10.337999999999994,1,18,4,22,NA,NA,NA
cec2013,TRUE,TRUE,978,22,1000,4,1,4,0,0,1,0,0,0.1031636863823934,0.10330578512396695,1,0,0.201,1,0,1,1,NA,NA,NA
ced,TRUE,TRUE,16620,7,16627,38,2,34,0,4,1,0,1,0.39360222531293465,0.39360222531293465,2,0,11.457000000000003,1,0,2,2,NA,NA,NA
ceg,FALSE,FALSE,0,1218,1218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CEGO,TRUE,TRUE,624,2704,3328,657,64,657,0,0,64,0,0,0.7296937416777631,0.7419031719532554,64,0,3.45,1,16,99,115,NA,NA,NA
celestial,TRUE,TRUE,0,2461,2461,239,21,239,0,0,21,0,0,0.3902877697841727,0.36847389558232924,21,0,10.495999999999995,1,4,101,105,3,NA,NA
cellranger,TRUE,TRUE,0,502,502,580,24,159,0,421,16,1,7,0.9594594594594593,0.9595375722543352,18,0,3.029999999999999,1,41,23,64,7,22,29
cellVolumeDist,FALSE,FALSE,0,123,123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cellWise,TRUE,TRUE,3923,2021,5944,978,19,111,867,0,16,3,0,0.5777142857142857,0.6013404825737265,19,0,182.315,1,19,11,30,1,NA,NA
cem,TRUE,TRUE,0,4727,4727,137,15,52,85,0,14,1,0,0.2663472378804961,0.2598668568711365,15,0,11.467,1,59,16,75,1,4,10
CenBAR,FALSE,FALSE,0,504,504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CENFA,TRUE,TRUE,229,1924,2153,101,17,53,48,0,16,1,0,0.42818971275885104,0.4328462073764788,NA,NA,NA,NA,28,22,50,NA,NA,NA
cenGAM,TRUE,TRUE,0,2632,2632,48,3,48,0,0,3,0,0,0.9808038392321535,0.9879341864716636,2,1,4.023,0.6666666666666666,5,2,7,NA,NA,NA
censCov,TRUE,TRUE,0,449,449,22,1,22,0,0,1,0,0,0.7225274725274725,0.7150127226463104,1,0,3.831,1,10,1,11,NA,NA,NA
CensMFM,FALSE,FALSE,0,1688,1688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
censNID,TRUE,TRUE,560,53,613,31,2,31,0,0,2,0,0,0.2671353251318102,0.26842105263157895,2,0,0.2290000000000001,1,1,2,3,NA,NA,NA
censorcopula,TRUE,TRUE,0,89,89,14,3,14,0,0,3,0,0,0.8214285714285714,0.7941176470588235,3,0,0.368,1,0,2,2,NA,1,1
censReg,TRUE,TRUE,0,579,579,527,10,34,31,462,5,1,4,NA,NA,2,8,6.543,0.2,19,1,20,1,NA,NA
CensRegMod,TRUE,TRUE,0,443,443,19,2,19,0,0,2,0,0,0.7797101449275362,0.8087557603686636,2,0,3.97,1,10,1,11,NA,NA,NA
Census2016,TRUE,TRUE,0,79,79,113,4,1,91,21,1,1,2,0.9523809523809522,0.9830508474576272,2,1,1.96,0.6666666666666666,3,1,4,NA,NA,NA
censusapi,TRUE,TRUE,0,229,229,420,7,62,358,0,5,2,0,0.44966442953020136,0.4765957446808511,3,4,12.470000000000002,0.42857142857142855,0,5,5,1,NA,NA
censusGeography,TRUE,TRUE,0,41,41,10,1,10,0,0,1,0,0,0.8421052631578947,0.8076923076923077,1,0,0.629,1,0,1,1,NA,NA,NA
censusr,TRUE,TRUE,0,239,239,8,3,7,1,0,2,1,0,0.043859649122807015,0.026737967914438502,3,0,0.2110000000000001,1,3,5,8,NA,NA,NA
censusxy,TRUE,TRUE,0,159,159,54,6,11,1,42,3,1,2,0.11578947368421053,0.09090909090909091,4,1,8.184,0.8,5,1,6,NA,NA,NA
censys,TRUE,TRUE,0,160,160,26,15,13,0,13,13,0,2,0,0,14,0,2.0920000000000005,1,1,14,15,NA,NA,NA
centiserve,TRUE,TRUE,0,835,835,95,33,95,0,0,33,0,0,0.7585089141004864,0.7495854063018242,33,0,6.588000000000013,1,7,33,40,NA,NA,NA
centralplot,TRUE,TRUE,0,33,33,5,1,5,0,0,1,0,0,1,1,1,0,0.247999999999999,1,0,1,1,NA,NA,NA
centrifugeR,FALSE,FALSE,0,133,133,NA,NA,NA,NA,NA,NA,NA,NA,0.910891089108911,0.912621359223301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cents,TRUE,TRUE,343,400,743,65,16,65,0,0,16,0,0,0.7107023411371237,0.6946564885496184,16,0,7.283000000000008,1,3,14,17,1,3,3
CEoptim,TRUE,TRUE,0,356,356,38,6,38,0,0,6,0,0,0.5841584158415841,0.6111111111111112,6,0,1.8619999999999974,1,0,4,4,NA,NA,NA
CePa,FALSE,FALSE,0,1487,1487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CepLDA,TRUE,TRUE,0,177,177,93,7,93,0,0,7,0,0,0.7606837606837606,0.7661290322580645,7,0,10.592,1,4,7,11,NA,NA,NA
cepp,TRUE,TRUE,0,299,299,50,4,50,0,0,4,0,0,0.7195767195767195,0.736,4,0,4.770999999999999,1,12,7,19,NA,3,4
cepR,TRUE,TRUE,0,128,128,2,2,2,0,0,2,0,0,0,0,2,0,0.20300000000000035,1,1,4,5,NA,NA,NA
cepreader,FALSE,FALSE,223,40,263,NA,NA,NA,NA,NA,NA,NA,NA,0.84,0.8148148148148148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ceramic,TRUE,TRUE,0,503,503,173,17,47,0,126,8,0,9,0.0790273556231003,0.08708708708708707,10,0,2.595000000000003,1,32,20,52,NA,NA,NA
CerioliOutlierDetection,TRUE,TRUE,0,200,200,68,6,68,0,0,6,0,0,0.8360655737704918,0.8690476190476191,6,0,1.109000000000001,1,3,6,9,NA,NA,NA
CeRNASeek,TRUE,TRUE,0,1057,1057,27,10,27,0,0,10,0,0,0.5869098712446352,0.6027667984189723,10,0,22.769,1,0,9,9,NA,NA,NA
cernn,TRUE,TRUE,0,78,78,72,7,72,0,0,7,0,0,0.9838709677419355,0.9836065573770492,7,0,1.6790000000000027,1,0,7,7,NA,NA,NA
ceRtainty,TRUE,TRUE,0,400,400,60,5,44,16,0,4,1,0,0.8601036269430051,0.8293413173652695,5,0,1.6829999999999996,1,12,3,15,NA,NA,NA
cetcolor,TRUE,TRUE,0,171,171,12,2,5,7,0,1,1,0,0.5714285714285714,0.4339622641509434,2,0,1.172,1,7,4,11,NA,NA,NA
ceterisParibus,TRUE,TRUE,0,643,643,174,33,52,0,122,23,0,10,0.7547683923705722,0.8095238095238095,24,0,8.865,1,20,13,33,NA,1,1
cfa,TRUE,TRUE,0,774,774,110,16,110,0,0,16,0,0,0.856198347107438,0.8630769230769231,16,0,3.6810000000000045,1,13,9,22,NA,NA,NA
CFC,TRUE,TRUE,213,513,726,31,8,13,18,0,7,1,0,0.25259515570934254,0.2978369384359401,7,1,6.792999999999992,0.875,14,6,20,NA,NA,NA
CfEstimateQuantiles,TRUE,TRUE,0,73,73,10,1,10,0,0,1,0,0,0.9818181818181819,0.987012987012987,1,0,0.493,1,0,1,1,NA,NA,NA
CFF,TRUE,TRUE,0,112,112,62,4,62,0,0,4,0,0,0.8571428571428571,0.8714285714285714,4,0,0.602000000000002,1,0,3,3,NA,NA,NA
cffdrs,TRUE,TRUE,0,1825,1825,200,13,200,0,0,13,0,0,0.8366219415943172,0.8433962264150944,13,0,16.654000000000003,1,24,12,36,NA,NA,NA
cfma,TRUE,TRUE,0,1529,1529,67,8,67,0,0,8,0,0,0.3367243133265514,0.3487684729064039,7,1,1411.539,0.875,13,6,19,NA,NA,NA
cg,FALSE,FALSE,0,9624,9624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cgam,TRUE,TRUE,0,12568,12568,425,37,425,0,0,37,0,0,0.44324487942689944,0.4529987239472565,36,1,19.346,0.972972972972973,99,34,133,NA,NA,NA
cgAUC,TRUE,TRUE,194,86,280,117,7,117,0,0,7,0,0,0.007194244604316547,0.00628930817610063,7,0,0.2120000000000008,1,0,6,6,NA,NA,NA
cgdsr,TRUE,TRUE,0,319,319,104,14,74,27,3,12,1,1,NA,NA,13,1,22.208,0.9285714285714286,1,22,23,1,NA,NA
CGE,TRUE,TRUE,0,2840,2840,612,27,612,0,0,27,0,0,0.3341176470588236,0.2772808586762075,27,0,198.67499999999998,1,0,94,94,NA,NA,NA
CGGP,TRUE,TRUE,217,3568,3785,1440,48,196,26,1218,35,1,12,0.9530685920577617,0.9451019066403681,35,2,75.651,0.9459459459459459,19,36,55,NA,NA,NA
cgh,TRUE,TRUE,513,142,655,30,5,30,0,0,5,0,0,0.7287234042553191,0.7553956834532375,5,0,1.0459999999999994,1,0,5,5,NA,NA,NA
cghRA,FALSE,FALSE,208,5480,5688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cglasso,TRUE,TRUE,1728,1550,3278,494,17,494,0,0,17,0,0,0.7461675579322639,0.7243491577335375,8,9,4.157999999999999,0.47058823529411764,2,43,45,NA,NA,NA
cglm,TRUE,TRUE,58,167,225,13,3,13,0,0,3,0,0,0.9814814814814815,0.976878612716763,3,0,1.5939999999999999,1,4,1,5,NA,NA,NA
cgmanalysis,TRUE,TRUE,0,802,802,5,3,5,0,0,3,0,0,0.5881104033970276,0.6416107382550336,3,0,9.485999999999999,1,0,3,3,NA,NA,NA
CGManalyzer,TRUE,TRUE,314,394,708,576,16,576,0,0,16,0,0,0.7651821862348178,0.7714808043875686,3,13,0.057000000000000446,0.1875,1,15,16,NA,NA,NA
CGP,TRUE,TRUE,0,255,255,36,5,36,0,0,5,0,0,0,0,5,0,0.6540000000000004,1,3,2,5,NA,NA,NA
CGPfunctions,FALSE,FALSE,0,833,833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
