package,installed,loadable,version,title,size,package_native_code,package_r_code,package_code,runnable_code,runnable_files,runnable_code_examples,runnable_code_vignettes,runnable_code_tests,runnable_files_examples,runnable_files_vignettes,runnable_files_tests,coverage_expr,coverage_line,funs_with_coverage,runnable_success,runnable_error,runnable_time,runnable_rate,funs_public,funs_private,funs_s3_dispatch,funs_s3_method,funs,funs_s3,s3_classes,revdeps,revdeps_runnable_code,revdep_coverage_expr,revdep_coverage_line,revdep_coverage_runs,funs_with_assert,asserts,uses_roxygen
expm,TRUE,TRUE,0.999-4,"Matrix Exponential, Log, 'etc'",597347,1460,867,2327,769,19,162,6,601,10,1,8,0.9128171763175016,0.9263278126784694,18,19,0,10.875999999999994,1,10,8,0,0,18,0,0,51,20124,53.871177618737796,56.19047619047619,49,5,11,FALSE
extraDistr,TRUE,TRUE,1.8.11,Additional Univariate and Multivariate Distributions,928247,11611,1390,13001,3469,73,456,0,3013,54,0,19,0.9371736034182624,0.936682615629984,195,55,0,19.17700000000001,1,194,185,0,0,379,0,0,11,6087,10.318088305111567,10.191387559808613,10,NA,NA,TRUE
fansi,TRUE,TRUE,0.4.1,ANSI Control Sequence Aware String Functions,618505,2945,870,3815,1395,31,98,28,1269,15,1,15,0.9496309161962657,0.9540047581284695,44,15,2,1.5649999999999964,0.8823529411764706,30,18,0,0,48,0,0,5,9678,47.15588363004776,43.91891891891892,5,NA,NA,TRUE
fastcluster,TRUE,TRUE,1.1.25,Fast Hierarchical Clustering Routines for R and 'Python',520571,2703,54,2757,251,5,50,0,201,3,1,1,0.9363992172211352,0.9373191899710704,3,5,0,14.921999999999999,1,2,0,0,0,2,0,0,10,3610,44.911937377690805,45.70877531340405,10,NA,NA,FALSE
fasterize,TRUE,TRUE,1.0.0,Fast Polygon to Raster Conversion,688926,466,21,487,198,8,13,0,185,1,1,6,1,1,2,3,0,3.3499999999999996,1,1,0,0,0,1,0,1,6,1038,63.13725490196078,63.13725490196078,6,NA,NA,TRUE
fdrtool,TRUE,TRUE,1.2.15,Estimation of (Local) False Discovery Rates and Higher Criticism,120733,41,834,875,147,10,147,0,0,10,0,0,0.8864864864864866,0.8922345483359746,34,10,0,1.9140000000000008,1,23,10,0,4,33,4,0,14,1152,64.6846846846847,66.88311688311688,14,NA,NA,FALSE
ffbase,TRUE,TRUE,0.12.7,Basic Statistical Functions for Package 'ff',306088,196,2263,2459,1544,69,407,0,1137,35,0,34,0.6833642547928263,0.7094199042043641,131,36,0,30.828999999999983,1,83,82,8,96,165,104,0,6,6329,9.152752009894867,10.032188841201716,6,11,12,TRUE
fftwtools,TRUE,TRUE,0.9-8,"Wrapper for 'FFTW3' Includes: One-Dimensional Univariate,
One-Dimensional Multivariate, and Two-Dimensional Transform",314830,162,165,327,95,4,64,31,0,3,1,0,0.8695652173913043,0.872340425531915,11,4,0,0.40900000000000086,1,11,0,0,0,11,0,0,6,1684,44.099378881987576,44.148936170212764,6,2,4,FALSE
fields,TRUE,TRUE,10.3,Tools for Spatial Data,4444093,1302,8859,10161,3287,108,1122,0,2165,78,0,30,0.7559305045105247,0.764672606420591,217,106,2,56.86100000000003,0.9814814814814815,267,1,6,50,268,56,0,119,66306,36.20113598396258,35.3008106954914,116,1,1,FALSE
filehash,TRUE,TRUE,2.4-2,Simple Key-Value Database,357244,465,867,1332,230,9,41,48,141,5,1,3,0.7469879518072289,0.7518159806295399,60,8,0,1.3119999999999996,1,32,30,0,0,62,0,2,6,5418,55.68942436412316,55.55555555555556,6,NA,NA,FALSE
filesstrings,TRUE,TRUE,3.1.5,Handy File and String Manipulation,180321,0,451,451,569,17,28,14,527,11,1,5,1,1,12,14,0,1.601,1,127,1,0,0,128,0,0,5,4387,24.867724867724867,31.438127090301005,5,4,4,TRUE
flexclust,TRUE,TRUE,1.4-0,Flexible Cluster Algorithms,389737,404,3821,4225,360,33,297,0,63,29,0,4,0.6814845024469821,0.7042545831892079,106,33,0,12.353999999999985,1,58,69,2,5,127,7,4,7,3522,3.99673735725938,3.9617969579059076,7,1,1,FALSE
flextable,TRUE,TRUE,0.5.8,Functions for Tabular Reporting,3453463,0,3668,3668,1661,109,663,441,557,90,5,14,0.842529198550141,0.8535825545171339,185,96,0,40.235000000000014,1,103,110,9,10,213,19,0,15,7676,58.31655255739025,61.48199930094373,15,19,22,TRUE
FME,TRUE,TRUE,1.3.6.1,"A Flexible Modelling Environment for Inverse Modelling,
Sensitivity, Identifiability and Monte Carlo Analysis",6609008,39,2434,2473,1161,21,469,692,0,16,5,0,0.8199689601655458,0.8146013448607108,59,24,1,234.322,0.96,15,53,0,26,68,26,0,7,1684,33.21262286601138,33.57664233576642,7,NA,NA,FALSE
fOptions,TRUE,TRUE,3042.86,Rmetrics - Pricing and Evaluating Basic Options,298227,1214,1282,2496,179,8,171,0,8,7,0,1,0.8970037453183521,0.8985623003194888,50,7,1,1.607999999999998,0.875,57,2,0,5,59,5,0,5,739,11.423220973782772,10.217216411906678,5,2,2,FALSE
forcats,TRUE,TRUE,0.5.0,Tools for Working with Categorical Variables (Factors),443170,0,492,492,855,49,198,43,614,25,1,23,0.9831081081081081,0.9845201238390093,50,26,1,5.8699999999999974,0.9629629629629629,35,16,1,4,51,5,0,52,30923,59.45945945945946,56.34674922600619,51,3,4,TRUE
foreach,TRUE,TRUE,1.4.8,Provides Foreach Looping Construct,469221,0,751,751,580,20,49,185,346,4,2,14,0.7593360995850622,0.8120063191153238,52,6,1,20.59400000000001,0.8571428571428571,23,33,4,18,56,22,0,380,132722,81.32780082987551,84.29054054054053,359,3,4,TRUE
forecast,TRUE,TRUE,8.11,Forecasting Functions for Time Series and Linear Models,2218053,1612,13338,14950,1772,111,376,106,1290,80,1,30,0.7593241294044921,0.7559988708007904,271,81,1,120.66000000000001,0.9878048780487805,96,249,7,136,345,143,0,73,33293,51.31877189367402,50.876696832579185,71,2,5,TRUE
foreign,TRUE,TRUE,0.8-76,"Read Data Stored by 'Minitab', 'S', 'SAS', 'SPSS', 'Stata',
'Systat', 'Weka', 'dBase', ...",1285980,7414,1314,8728,274,26,72,0,202,14,0,12,0.7323031948214659,0.7351778656126481,21,NA,NA,NA,NA,17,10,0,0,27,0,0,51,28796,25.558571726874085,24.799839871897518,50,1,3,FALSE
forestplot,TRUE,TRUE,1.9,Advanced Forest Plot Using 'grid' Graphics,1355091,0,2244,2244,1173,17,201,201,771,6,1,10,0.8098958333333335,0.8201803833145435,36,11,0,7.864000000000001,1,11,26,1,2,37,3,0,8,2311,65.36458333333334,66.30681818181819,8,NA,NA,TRUE
formatR,TRUE,TRUE,1.7,Format R Code Automatically,290303,0,382,382,413,10,44,12,357,5,1,4,0.8700361010830325,0.8772563176895306,27,7,0,13.127000000000002,1,6,24,0,0,30,0,0,11,1946,42.59927797833935,39.56043956043956,11,NA,NA,TRUE
formattable,TRUE,TRUE,0.2.0.1,Create 'Formattable' Data Structures,971681,0,678,678,888,44,189,99,600,34,2,8,0.9739884393063584,0.9792147806004619,118,37,0,3.2550000000000026,1,30,90,16,54,120,70,0,6,519,32.369942196531795,31.177829099307157,5,3,3,TRUE
Formula,TRUE,TRUE,1.2-3,Extended Model Formulas,488586,0,280,280,123,3,64,59,0,2,1,0,0.804878048780488,0.7963800904977376,17,3,0,2.1550000000000002,1,4,19,3,14,23,17,0,119,42360,89.75609756097562,88.47926267281106,116,4,5,FALSE
formula.tools,TRUE,TRUE,1.7.1,"Programmatic Utilities for Manipulating Formulas, Expressions,
Calls, Assignments and Other R Objects",85651,0,372,372,228,14,80,0,148,9,0,5,0.6683673469387756,0.6716417910447761,44,10,0,5.156000000000004,1,16,33,3,12,49,15,0,11,2880,17.857142857142858,22.388059701492537,11,NA,NA,TRUE
fpc,TRUE,TRUE,2.2-5,Flexible Procedures for Clustering,794956,0,5976,5976,701,89,618,0,83,88,0,1,0.7985004686035615,0.7998811174955419,124,89,0,14.00300000000004,1,134,0,1,24,134,25,0,13,5146,9.676663542642924,10.561797752808989,11,NA,NA,FALSE
fpCompare,TRUE,TRUE,0.2.3,Reliable Comparison of Floating Point Numbers,502880,0,24,24,49,4,16,0,33,1,1,2,0.75,0.75,6,3,0,1.5390000000000013,1,6,2,0,0,8,0,0,5,13801,50,50,5,NA,NA,TRUE
fracdiff,TRUE,TRUE,1.5-1,"Fractionally Differenced ARIMA aka ARFIMA(P,d,q) Models",219787,2112,429,2541,308,13,78,0,230,8,0,5,0.7646363098758131,0.7736579966795795,16,13,0,9.640999999999998,1,7,10,0,9,17,9,0,12,2329,71.02306327616795,70.36625971143174,12,4,4,FALSE
fs,TRUE,TRUE,1.3.1,Cross-Platform File System Operations Based on 'libuv',9544540,37427,1117,38544,1945,46,201,4,1740,23,1,22,0.8153950953678474,0.8225806451612904,107,26,0,12.760000000000002,1,67,90,15,29,157,44,3,48,40533,60.14986376021798,59.6116504854369,47,2,5,TRUE
functional,TRUE,TRUE,0.6,"Curry, Compose, and other higher-order functions",12215,0,28,28,39,7,25,0,14,6,0,1,0.7647058823529411,0.7619047619047619,5,7,0,0.42600000000000016,1,5,2,0,0,7,0,0,11,2243,29.411764705882355,33.33333333333333,10,NA,NA,FALSE
futile.logger,TRUE,TRUE,1.4.3,A Logging Utility for R,71158,0,244,244,249,15,42,0,207,9,0,6,0.8481012658227847,0.872093023255814,15,10,0,3.664000000000001,1,23,1,0,0,24,0,0,25,13028,56.9620253164557,52.4390243902439,22,NA,NA,TRUE
future.apply,TRUE,TRUE,1.4.0,Apply Function to Elements in Parallel using Futures,246457,0,1026,1026,1618,25,91,0,1527,4,1,20,0.9742198100407056,0.9794685990338166,39,19,3,494.77699999999993,0.8636363636363636,10,29,1,2,39,3,0,25,15743,40.97693351424695,42.632850241545896,24,1,1,TRUE
gargle,TRUE,TRUE,0.4.0,Utilities for Working with Google APIs,804716,0,1404,1404,943,45,41,33,869,18,6,21,0.7116104868913857,0.6898454746136865,87,25,0,15.790000000000003,1,32,93,0,0,125,0,0,5,5007,9.925093632958802,10.442678774120317,5,11,11,TRUE
gdalUtils,TRUE,TRUE,2.0.3.2,"Wrappers for the Geospatial Data Abstraction Library (GDAL)
Utilities",2287680,0,2250,2250,257,32,257,0,0,32,0,0,0.6615925058548009,0.7334235453315291,24,32,0,35.65199999999999,1,29,1,0,0,30,0,0,9,12018,24.707259953161593,23.83107088989442,9,1,1,TRUE
gdata,TRUE,TRUE,2.18.0,Various R Programming Tools for Data Manipulation,3016576,0,1911,1911,1867,65,545,71,1251,45,2,18,0.8127772848269743,0.7917910447761194,125,50,3,48.45800000000003,0.9433962264150944,71,72,17,66,143,83,0,39,7923,26.796805678793255,25.718608169440245,39,4,4,FALSE
gdtools,TRUE,TRUE,0.2.1,Utilities for Graphical Rendering,134868,878,119,997,87,14,36,0,51,9,0,5,0.7553516819571865,0.755223880597015,9,10,0,2.5280000000000005,1,15,15,0,0,30,0,0,6,5610,60.85626911314985,60,6,3,3,TRUE
gee,TRUE,TRUE,4.13-20,Generalized Estimation Equation Solver,239515,1625,309,1934,43,3,10,0,33,1,0,2,0.8059105431309903,0.8062745098039216,5,3,0,5.490000000000001,1,1,3,0,3,4,3,0,16,1866,73.24281150159744,73.33333333333333,16,NA,NA,FALSE
geepack,TRUE,TRUE,1.3-1,Generalized Estimating Equation Package,771037,2049,1091,3140,308,18,271,37,0,17,1,0,0.8353253652058433,0.829417444480206,21,18,0,10.379000000000008,1,12,16,1,11,28,12,0,16,2572,58.00132802124834,57.61223162003903,15,NA,NA,FALSE
genalg,TRUE,TRUE,0.2.0,R Based Genetic Algorithm,35617,0,398,398,46,4,46,0,0,4,0,0,0.7256944444444444,0.7156862745098038,4,4,0,4.339000000000001,1,2,2,0,2,4,2,0,6,2320,44.79166666666667,40.131578947368425,6,NA,NA,FALSE
generics,TRUE,TRUE,0.0.2,"Common S3 Generics not Provided by Base R Methods Related to
Model Fitting",222213,0,215,215,161,18,13,0,148,3,0,15,0.6764705882352942,0.7884615384615384,19,4,0,17.173000000000002,1,31,15,31,8,46,39,0,30,68040,13.725490196078432,9.722222222222223,29,NA,NA,TRUE
GenOrd,TRUE,TRUE,1.4.0,"Simulation of Discrete Random Variables with Given Correlation
Matrix and Marginal Distributions",30565,0,244,244,191,4,191,0,0,4,0,0,0.9277777777777778,0.8979591836734694,4,4,0,3.135000000000001,1,4,0,0,0,4,0,0,7,778,77.77777777777779,77.435897435897445,7,NA,NA,FALSE
GenSA,TRUE,TRUE,1.1.7,Generalized Simulated Annealing,213750,3803,182,3985,23,1,23,0,0,1,0,0,0.7253521126760564,0.7286473232529628,2,1,0,2.829,1,1,0,0,0,1,0,0,10,8354,79.41176470588235,79.64022894521669,8,NA,NA,FALSE
GGally,TRUE,TRUE,1.4.0,Extension to 'ggplot2',1609144,0,5210,5210,2966,81,776,0,2190,59,0,22,0.962857142857143,0.9724649192480805,153,60,0,142.62300000000002,1,83,80,2,9,163,11,0,26,9197,39.51020408163266,35.981685968219765,26,4,5,TRUE
ggfittext,TRUE,TRUE,0.8.1,Fit Text Inside a Box in 'ggplot2',876769,0,648,648,353,7,4,33,316,1,1,5,0.9090909090909091,0.9094922737306842,3,4,0,15.585999999999999,1,2,3,0,1,5,1,0,6,3005,68.98395721925134,69.25287356321839,6,NA,NA,TRUE
ggforce,TRUE,TRUE,0.3.1,Accelerating 'ggplot2',1467036,794,5263,6057,650,40,650,0,0,40,0,0,0.8236009732360098,0.8310502283105022,132,40,0,4.622999999999996,1,88,90,0,8,178,8,0,21,20727,7.360097323600972,10.51028179741051,21,3,4,TRUE
ggpubr,TRUE,TRUE,0.2.5,'ggplot2' Based Publication Ready Plots,3398283,0,5918,5918,968,64,968,0,0,64,0,0,0.7071598235493722,0.7414254439309169,193,64,0,13.127000000000004,1,87,147,0,1,234,1,0,21,5509,24.201223657375934,27.80113776898343,21,NA,NA,TRUE
ggrepel,TRUE,TRUE,0.8.1,"Automatically Position Non-Overlapping Text Labels with
'ggplot2'",3376703,558,790,1348,482,5,6,184,292,1,1,3,0.8932038834951457,0.9312039312039312,13,3,0,7.8839999999999995,1,2,20,0,4,22,4,0,53,38176,81.94174757281554,88.33746898263027,51,2,2,TRUE
ggridges,TRUE,TRUE,0.5.2,Ridgeline Plots in 'ggplot2',5729247,0,1373,1373,750,26,239,314,197,15,2,9,0.8645833333333335,0.928125,36,18,0,11.084000000000003,1,46,10,0,0,56,0,0,17,10794,38.54166666666667,43.40836012861736,17,NA,NA,TRUE
ggthemes,TRUE,TRUE,4.2.0,"Extra Themes, Scales and Geoms for 'ggplot2'",723703,0,1998,1998,1263,86,504,0,759,55,0,31,0.9388794567062818,0.9572901325478645,116,57,0,13.384999999999994,1,123,20,0,0,143,0,0,27,7026,8.488964346349745,7.361963190184049,27,NA,NA,TRUE
GIGrvg,TRUE,TRUE,0.5,Random Variate Generator for the GIG Distribution,139839,334,8,342,139,3,10,0,129,2,0,1,0.9615384615384616,0.9615384615384616,3,3,0,0.637,1,2,0,0,0,2,0,0,6,1401,59.61538461538461,59.61538461538461,6,NA,NA,FALSE
git2r,TRUE,TRUE,0.26.1,Provides Access to Git Repositories,5437805,101171,1608,102779,2508,154,110,0,2398,106,0,48,0.8062683284457478,0.81067615658363,173,154,0,20.182000000000038,1,95,81,2,62,176,64,0,22,23749,42.257160461926816,42.25282345948088,21,5,8,TRUE
glasso,TRUE,TRUE,1.11,Graphical Lasso: Estimation of Gaussian Graphical Models,48412,559,119,678,18,2,18,0,0,2,0,0,0.8820861678004536,0.8862144420131292,3,2,0,0.31099999999999967,1,2,0,0,0,2,0,0,20,2043,88.43537414965986,88.8402625820569,19,NA,NA,FALSE
glm2,TRUE,TRUE,1.2.1,Fitting Generalized Linear Models,36473,0,336,336,81,2,81,0,0,2,0,0,0.7287449392712549,0.7094594594594593,2,2,0,1.492,1,2,0,0,0,2,0,0,5,923,60.32388663967612,58.78378378378378,5,NA,NA,FALSE
globals,TRUE,TRUE,0.12.5,Identify Global Objects in R Expressions,109861,0,797,797,1165,16,7,0,1158,1,0,15,0.9267461669505963,0.9362363919129082,38,7,5,2.075999999999997,0.5833333333333334,8,32,5,9,40,14,0,6,15559,64.22487223168655,67.74716369529983,3,NA,NA,TRUE
glue,TRUE,TRUE,1.3.1,Interpreted String Literals,297880,260,328,588,813,15,103,108,602,6,2,7,0.996996996996997,0.9973118279569892,33,8,1,20.680000000000003,0.8888888888888888,18,34,6,13,52,19,1,172,205611,77.47747747747748,76.75070028011206,170,1,4,TRUE
gmp,TRUE,TRUE,0.5-13.6,Multiple Precision Arithmetic,636826,5431,829,6260,783,34,322,0,461,31,0,3,0.7924133811230586,0.7929917550058893,157,33,1,3.8740000000000023,0.9705882352941176,92,117,12,130,209,142,2,21,21053,52.956989247311824,52.65800354400473,21,9,9,FALSE
gnm,TRUE,TRUE,1.1-1,Generalized Nonlinear Models,2268824,121,3883,4004,1129,56,574,342,213,46,1,9,0.7071320182094083,0.6920964296612756,70,41,6,19.880999999999975,0.8723404255319149,29,78,7,49,107,56,0,10,3597,51.441578148710164,50.07638252367859,10,NA,NA,FALSE
goftest,TRUE,TRUE,1.2-2,Classical Goodness-of-Fit Tests for Univariate Distributions,107218,179,373,552,41,7,31,0,10,6,0,1,0.8405315614617941,0.8495821727019499,13,7,0,1.0939999999999988,1,7,5,0,0,12,0,0,7,15890,48.50498338870432,52.64623955431755,6,4,6,FALSE
GPArotation,TRUE,TRUE,2014.11-1,GPA Factor Rotation,238869,0,437,437,978,13,59,5,914,5,1,7,0.887719298245614,0.8757763975155279,45,13,0,66.57900000000001,1,29,21,0,3,50,3,0,10,5742,54.385964912280706,51.5527950310559,10,NA,NA,FALSE
gridBase,TRUE,TRUE,0.4-7,Integration of base and grid graphics,463060,0,108,108,186,3,62,124,0,2,1,0,0.9272727272727272,0.9545454545454546,8,1,2,0.764,0.3333333333333333,5,4,0,0,9,0,0,11,4858,81.81818181818183,85.22727272727273,11,NA,NA,FALSE
gridExtra,TRUE,TRUE,2.3,"Miscellaneous Functions for ""Grid"" Graphics",2516401,0,654,654,283,7,31,252,0,3,4,0,0.8052805280528053,0.864406779661017,27,7,0,4.937000000000001,1,16,21,0,4,37,4,0,221,94329,72.93729372937293,77.87234042553192,213,7,12,TRUE
gsubfn,TRUE,TRUE,0.7,Utilities for Strings and Function Arguments,771775,0,475,475,208,10,114,94,0,9,1,0,0.834920634920635,0.8663793103448276,13,10,0,12.155000000000001,1,14,1,0,3,15,3,0,13,1970,58.46645367412141,63.18289786223278,13,2,2,FALSE
gtable,TRUE,TRUE,0.3.0,Arrange 'Grobs' in Tables,11906370,0,592,592,530,24,156,12,362,13,1,10,0.7473958333333335,0.7360178970917226,47,15,0,20.054000000000002,1,18,37,1,15,55,16,0,54,39433,72.39583333333334,72.93064876957494,54,NA,NA,TRUE
gtools,TRUE,TRUE,3.8.1,Various R Programming Tools,318133,156,1347,1503,362,36,292,0,70,30,0,6,0.7951105937136205,0.8059149722735675,42,35,1,78.97400000000002,0.9722222222222222,45,8,0,0,53,0,0,124,32496,28.52153667054715,28.71939736346516,121,1,1,FALSE
hash,TRUE,TRUE,2.2.6.1,"Full Feature Implementation of Hash/Associated
Arrays/Dictionaries",85608,0,246,246,153,19,96,0,57,15,0,4,0.8813559322033897,0.8484848484848484,21,19,0,0.6450000000000008,1,18,1,0,2,19,2,0,14,2789,59.32203389830508,63.63636363636363,14,NA,NA,FALSE
HDInterval,TRUE,TRUE,0.2.0,Highest (Posterior) Density Intervals,47520,0,125,125,38,2,38,0,0,2,0,0,0.7613636363636364,0.72,8,2,0,2.472,1,2,15,1,13,17,14,0,6,6692,55.68181818181818,52,5,NA,NA,FALSE
hms,TRUE,TRUE,0.5.3,Pretty Time of Day,204911,0,612,612,381,18,21,0,360,3,0,15,0.7592592592592592,0.696078431372549,66,4,0,5.076000000000001,1,12,107,4,40,119,44,2,22,15132,47.53086419753087,44.11764705882353,22,2,2,TRUE
hoardr,TRUE,TRUE,0.5.2,Manage Cached Files,1779735,0,172,172,224,6,39,15,170,1,1,4,0.9010989010989011,0.8777777777777778,24,3,0,4.355999999999999,1,1,6,0,1,7,1,0,13,10715,20.87912087912088,18.88888888888889,13,NA,NA,TRUE
htmltools,TRUE,TRUE,0.4.0,Tools for HTML,187142,165,1206,1371,1170,16,84,0,1086,8,0,8,0.8075801749271136,0.7971014492753623,75,9,0,2.3989999999999996,1,66,45,1,16,111,17,0,158,122475,63.11953352769679,63.25581395348837,157,NA,NA,TRUE
hutils,TRUE,TRUE,1.5.1,Miscellaneous R Functions and Aliases,584690,0,2514,2514,3013,99,155,204,2654,27,1,71,0.9417946645109135,0.9418282548476455,72,28,1,13.140000000000002,0.9655172413793104,63,21,0,0,84,0,0,6,10772,13.500404203718674,11.830357142857142,6,13,15,TRUE
hypergeo,TRUE,TRUE,1.2-13,The Gauss Hypergeometric Function,777101,0,1329,1329,523,22,138,18,367,19,1,2,0.693239152371342,0.6947162426614482,82,22,0,6.378000000000001,1,93,3,0,0,96,0,0,11,9287,26.034308779011102,24.656188605108053,11,20,30,FALSE
ICS,TRUE,TRUE,1.3-1,Tools for Exploring Multivariate Data via ICS/ICA,1660914,0,565,565,326,17,178,148,0,16,1,0,0.8005181347150259,0.7877984084880637,23,17,0,5.977999999999996,1,18,10,0,1,28,1,0,6,847,41.45077720207254,42.13333333333333,6,NA,NA,FALSE
ICSNP,TRUE,TRUE,1.1-1,Tools for Multivariate Nonparametrics,144720,491,1306,1797,167,22,167,0,0,22,0,0,0.7085674157303372,0.7077464788732394,47,22,0,5.747999999999996,1,20,31,3,7,51,10,0,6,890,14.466292134831459,13.9385275196569,6,NA,NA,FALSE
imputeTS,TRUE,TRUE,3,Time Series Missing Value Imputation,2441267,121,1069,1190,2406,46,78,0,2328,15,1,30,0.8320000000000001,0.8465227817745803,27,17,0,96.946,1,25,4,0,0,29,0,0,5,3750,17.599999999999998,17.38609112709832,5,NA,NA,TRUE
infotheo,TRUE,TRUE,1.2.0,Information-Theoretic Measures,37974,346,164,510,34,8,34,0,0,8,0,0,0.9791666666666665,0.9820051413881749,9,8,0,0.7300000000000003,1,8,0,0,0,8,0,0,10,1846,70.53571428571429,69.35064935064935,10,NA,NA,FALSE
ini,TRUE,TRUE,0.3.1,Read and Write '.ini' Files,8538,0,50,50,35,5,17,0,18,2,0,3,1,1,2,3,0,2.4189999999999996,1,2,0,0,0,2,0,0,6,6701,100,100,6,NA,NA,TRUE
irlba,TRUE,TRUE,2.3.3,"Fast Truncated Singular Value Decomposition and Principal
Components Analysis for Large Dense and Sparse Matrices",544081,563,695,1258,505,11,75,0,430,5,1,5,0.8986636971046771,0.9021852237252862,11,10,0,4.711000000000004,1,5,6,0,1,11,1,0,12,4668,48.88641425389755,45.72072072072072,12,NA,NA,TRUE
irr,TRUE,TRUE,0.84.1,Various Coefficients of Interrater Reliability and Agreement,102293,0,971,971,117,25,117,0,0,25,0,0,0.8717241379310345,0.8732083792723263,21,25,0,1.5399999999999978,1,21,0,0,2,21,2,0,7,671,25.655172413793103,27.93427230046948,7,NA,NA,FALSE
isotone,TRUE,TRUE,1.1-0,Active Set and Generalized PAVA for Isotone Optimization,1370476,0,617,617,226,21,162,64,0,20,1,0,0.9106145251396647,0.9083820662768031,34,21,0,1.7090000000000003,1,19,18,0,4,37,4,0,6,1008,35.19553072625698,39.603960396039604,6,NA,NA,FALSE
iterators,TRUE,TRUE,1.0.12,Provides Iterator Construct,659328,0,503,503,250,12,77,144,29,9,2,1,0.672782874617737,0.6831896551724138,26,12,0,10.567,1,16,18,4,13,34,17,0,70,20566,68.80733944954129,68.90951276102089,68,NA,NA,FALSE
JADE,TRUE,TRUE,2.0-2,"Blind Source Separation Methods Based on Joint Diagonalization
and Some BSS Performance Criteria",3476034,302,866,1168,247,21,247,0,0,20,1,0,0.7206521739130435,0.7252502780867631,37,20,1,3.4440000000000057,0.9523809523809523,21,21,5,13,42,18,0,6,1251,34.23913043478261,35.89164785553047,6,NA,NA,FALSE
janitor,TRUE,TRUE,1.2.1,Simple Tools for Examining and Cleaning Dirty Data,655909,0,1258,1258,2855,53,130,104,2621,27,2,24,0.9930555555555556,0.9945770065075922,61,30,0,16.020999999999997,1,32,29,7,13,61,20,0,12,4349,13.61111111111111,14.940021810250817,12,1,4,TRUE
jpeg,TRUE,TRUE,0.1-8.1,Read and write JPEG images,48287,452,10,462,101,3,20,0,81,2,0,1,0.7441077441077443,0.7441077441077443,3,3,0,0.4700000000000011,1,2,0,0,0,2,0,0,42,22573,57.23905723905723,57.23905723905723,42,NA,NA,FALSE
jsonlite,TRUE,TRUE,1.6.1,"A Robust, High Performance JSON Parser and Generator for R",4853733,3781,1217,4998,817,43,80,37,700,10,1,32,0.7237128353879624,0.7340980187695516,77,12,0,22.447,1,17,66,0,2,83,2,7,690,543276,76.72226250906455,77.19359331476323,682,12,17,TRUE
kableExtra,TRUE,TRUE,1.1.0,Construct Complex Table with 'kable' and Pipe Syntax,7924894,0,3117,3117,460,21,43,417,0,15,6,0,0.7001231527093598,0.6787610619469027,100,21,0,6.034999999999995,1,36,89,0,2,125,2,0,18,5473,49.26108374384236,46.7020805666224,17,NA,NA,TRUE
kappalab,TRUE,TRUE,0.4-7,Non-Additive Measure and Integral Manipulation Functions,531560,1658,2554,4212,1282,81,698,0,584,51,0,30,0.7953488372093023,0.8283862163084271,88,81,0,5.774999999999988,1,61,21,0,0,82,0,0,6,1533,9.255813953488373,8.664383561643836,6,NA,NA,FALSE
Kendall,TRUE,TRUE,2.2,Kendall rank correlation and Mann-Kendall trend test,35909,232,89,321,60,8,60,0,0,8,0,0,0.6547085201793722,0.6818181818181818,6,8,0,5.919000000000003,1,3,3,0,2,6,2,0,10,1736,55.15695067264574,54.958677685950406,10,NA,NA,FALSE
KernSmooth,TRUE,TRUE,2.23-16,Functions for Kernel Smoothing Supporting Wand & Jones (1995),107525,558,603,1161,49,8,44,0,5,7,0,1,0.8086070215175538,0.8191489361702128,16,8,0,2.0120000000000022,1,7,9,0,0,16,0,0,55,11488,80.74745186862967,81.80851063829788,55,NA,NA,FALSE
KFAS,TRUE,TRUE,1.3.7,"Kalman Filter and Smoother for Exponential Family State Space
Models",1693805,3207,3004,6211,1249,35,448,167,634,23,1,11,0.7470410129369667,0.755023923444976,40,25,0,73.927,1,20,25,1,17,45,18,0,7,1798,30.11285439031104,30.60831930752585,7,NA,NA,TRUE
kinship2,TRUE,TRUE,1.8.5,Pedigree Functions,1220056,0,2426,2426,486,25,112,118,256,15,1,9,0.6772020725388601,0.7001401214385801,36,25,0,3.913000000000002,1,26,23,2,11,49,13,0,16,6624,44.92227979274611,44.33040078201368,16,NA,NA,FALSE
kohonen,TRUE,TRUE,3.0.10,Supervised and Unsupervised Self-Organising Maps,2084988,987,1448,2435,198,14,198,0,0,14,0,0,0.698744769874477,0.716796875,39,14,0,6.970000000000005,1,14,33,1,6,47,7,0,8,491,38.995815899581586,37.44262295081967,8,NA,NA,FALSE
labelled,TRUE,TRUE,2.2.2,Manipulating Labelled Data,307183,0,824,824,561,20,193,121,247,17,1,2,0.77079107505071,0.7578740157480314,77,19,0,3.0289999999999977,1,43,73,24,72,116,96,0,6,3274,18.66125760649087,18.503937007874015,6,NA,NA,TRUE
lambda.r,TRUE,TRUE,1.2.4,Modeling Data with Functional Programming,91401,0,981,981,1074,35,86,0,988,5,0,30,0.8252427184466019,0.8396349413298566,48,6,0,5.18,1,15,46,0,2,61,2,0,6,569,25.104022191400833,24.193548387096776,6,NA,NA,FALSE
